============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Apr 13 2023  02:06:45 am
  Module:                 top_FNN
  Technology library:     uk65lscllmvbbr_120c25_tc 
  Operating conditions:   uk65lscllmvbbr_120c25_tc (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

      Instance                             Module                        Cell Count  Cell Area  Net Area   Total Area  Wireload  
---------------------------------------------------------------------------------------------------------------------------------
top_FNN                                                                      244066 648116.280     0.000   648116.280   wl0 (D)  
  l4_n_5_siginst.s1  Sig_ROM_inWidth10_dataWidth16_75                           966   2151.360     0.000     2151.360   wl0 (T)  
  l4_n_8_siginst.s1  Sig_ROM_inWidth10_dataWidth16_78                           966   2151.360     0.000     2151.360   wl0 (T)  
  l4_n_9_siginst.s1  Sig_ROM_inWidth10_dataWidth16_79                           966   2151.360     0.000     2151.360   wl0 (T)  
  l4_n_3_siginst.s1  Sig_ROM_inWidth10_dataWidth16_73                           966   2151.360     0.000     2151.360   wl0 (T)  
  l2                 Layer2_NN30_numWeight30_dataWidth16_layerNum2_sigm       72469 197583.120     0.000   197583.120   wl0 (T)  
    n_0_siginst.s1   Sig_ROM_inWidth10_dataWidth16_30                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_1_siginst.s1   Sig_ROM_inWidth10_dataWidth16_31                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_180_siginst.s1 Sig_ROM_inWidth10_dataWidth16_51                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_689_siginst.s1 Sig_ROM_inWidth10_dataWidth16_33                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_690_siginst.s1 Sig_ROM_inWidth10_dataWidth16_34                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_691_siginst.s1 Sig_ROM_inWidth10_dataWidth16_38                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_692_siginst.s1 Sig_ROM_inWidth10_dataWidth16_39                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_693_siginst.s1 Sig_ROM_inWidth10_dataWidth16_40                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_694_siginst.s1 Sig_ROM_inWidth10_dataWidth16_41                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_695_siginst.s1 Sig_ROM_inWidth10_dataWidth16_42                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_696_siginst.s1 Sig_ROM_inWidth10_dataWidth16_43                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_697_siginst.s1 Sig_ROM_inWidth10_dataWidth16_48                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_698_siginst.s1 Sig_ROM_inWidth10_dataWidth16_49                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_699_siginst.s1 Sig_ROM_inWidth10_dataWidth16_53                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_700_siginst.s1 Sig_ROM_inWidth10_dataWidth16_55                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_701_siginst.s1 Sig_ROM_inWidth10_dataWidth16_56                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_702_siginst.s1 Sig_ROM_inWidth10_dataWidth16_32                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_703_siginst.s1 Sig_ROM_inWidth10_dataWidth16_35                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_704_siginst.s1 Sig_ROM_inWidth10_dataWidth16_36                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_705_siginst.s1 Sig_ROM_inWidth10_dataWidth16_37                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_706_siginst.s1 Sig_ROM_inWidth10_dataWidth16_44                           961   2143.080     0.000     2143.080   wl0 (T)  
