============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Apr 13 2023  02:06:44 am
  Module:                 top_FNN
  Technology library:     uk65lscllmvbbr_120c25_tc 
  Operating conditions:   uk65lscllmvbbr_120c25_tc (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                      
     Gate       Instances     Area              Library           
OAI31M2R             1133    2855.160    uk65lscllmvbbr_120c25_tc 
OAI31M4R               37     159.840    uk65lscllmvbbr_120c25_tc 
OAI31M8RA               1       8.280    uk65lscllmvbbr_120c25_tc 
OAI32M1R                8      23.040    uk65lscllmvbbr_120c25_tc 
OAI32M2R             2905    8366.400    uk65lscllmvbbr_120c25_tc 
OAI33M1R               13      42.120    uk65lscllmvbbr_120c25_tc 
OAI33M2R             1386    4490.640    uk65lscllmvbbr_120c25_tc 
OR2M12RA               31     189.720    uk65lscllmvbbr_120c25_tc 
OR2M16RA               27     194.400    uk65lscllmvbbr_120c25_tc 
OR2M1R                519    1121.040    uk65lscllmvbbr_120c25_tc 
OR2M22RA                2      20.880    uk65lscllmvbbr_120c25_tc 
OR2M2R               1654    3572.640    uk65lscllmvbbr_120c25_tc 
OR2M4R                721    1816.920    uk65lscllmvbbr_120c25_tc 
OR2M6R                155     558.000    uk65lscllmvbbr_120c25_tc 
OR2M8R                 41     177.120    uk65lscllmvbbr_120c25_tc 
OR3M12RA                4      30.240    uk65lscllmvbbr_120c25_tc 
OR3M16RA                3      25.920    uk65lscllmvbbr_120c25_tc 
OR3M1R                128     322.560    uk65lscllmvbbr_120c25_tc 
OR3M2R                 51     128.520    uk65lscllmvbbr_120c25_tc 
OR3M4R                 17      48.960    uk65lscllmvbbr_120c25_tc 
OR3M6R                  8      37.440    uk65lscllmvbbr_120c25_tc 
OR3M8RA                 3      16.200    uk65lscllmvbbr_120c25_tc 
OR4M12RA                1       8.640    uk65lscllmvbbr_120c25_tc 
OR4M16RA                2      20.160    uk65lscllmvbbr_120c25_tc 
OR4M1R                414    1192.320    uk65lscllmvbbr_120c25_tc 
OR4M4RA                 1       3.240    uk65lscllmvbbr_120c25_tc 
OR4M6R                  1       5.400    uk65lscllmvbbr_120c25_tc 
OR4M8RA                 1       6.120    uk65lscllmvbbr_120c25_tc 
OR6M1RA               121     609.840    uk65lscllmvbbr_120c25_tc 
OR6M2RA                 9      45.360    uk65lscllmvbbr_120c25_tc 
OR6M4RA                 3      21.600    uk65lscllmvbbr_120c25_tc 
SDFM4RA                 1      10.800    uk65lscllmvbbr_120c25_tc 
SDFM8RA                 4      53.280    uk65lscllmvbbr_120c25_tc 
SDFQM1RA                1       9.000    uk65lscllmvbbr_120c25_tc 
SDFQM2RA              195    1755.000    uk65lscllmvbbr_120c25_tc 
SDFQM4RA              107    1040.040    uk65lscllmvbbr_120c25_tc 
SDFQM8RA              483    5042.520    uk65lscllmvbbr_120c25_tc 
SDFQZRM8RA            111    1438.560    uk65lscllmvbbr_120c25_tc 
SDFQZSM8RA            154    2106.720    uk65lscllmvbbr_120c25_tc 
SDFZRM8RA               4      59.040    uk65lscllmvbbr_120c25_tc 
SDFZSM8RA              11     170.280    uk65lscllmvbbr_120c25_tc 
XNR2M1RA               40     144.000    uk65lscllmvbbr_120c25_tc 
XNR2M2RA              980    3528.000    uk65lscllmvbbr_120c25_tc 
XNR2M4RA               49     194.040    uk65lscllmvbbr_120c25_tc 
XNR2M6RA               56     322.560    uk65lscllmvbbr_120c25_tc 
XNR2M8RA               19     129.960    uk65lscllmvbbr_120c25_tc 
XNR3M1R                60     367.200    uk65lscllmvbbr_120c25_tc 
XNR3M2R               362    2345.760    uk65lscllmvbbr_120c25_tc 
XNR3M4R               283    2139.480    uk65lscllmvbbr_120c25_tc 
XNR3M6RA              150    1620.000    uk65lscllmvbbr_120c25_tc 
XNR3M8RA              317    3765.960    uk65lscllmvbbr_120c25_tc 
XNR4M1RA                5      43.200    uk65lscllmvbbr_120c25_tc 
XNR4M2RA               13     117.000    uk65lscllmvbbr_120c25_tc 
XOR2M1RA              223     802.800    uk65lscllmvbbr_120c25_tc 
XOR2M2RA             1725    6210.000    uk65lscllmvbbr_120c25_tc 
XOR2M3RA              159     629.640    uk65lscllmvbbr_120c25_tc 
XOR2M4RA              545    2158.200    uk65lscllmvbbr_120c25_tc 
XOR2M6RA                1       6.120    uk65lscllmvbbr_120c25_tc 
XOR2M8RA               10      75.600    uk65lscllmvbbr_120c25_tc 
XOR3M1RA                2      12.240    uk65lscllmvbbr_120c25_tc 
XOR3M2RA              281    1719.720    uk65lscllmvbbr_120c25_tc 
XOR3M4RA               97     663.480    uk65lscllmvbbr_120c25_tc 
XOR3M6RA               19     212.040    uk65lscllmvbbr_120c25_tc 
XOR3M8RA                3      34.560    uk65lscllmvbbr_120c25_tc 
XOR4M2RA                1       9.000    uk65lscllmvbbr_120c25_tc 
------------------------------------------------------------------
total              244066  648116.280                             


                                           
     Type      Instances    Area    Area % 
-------------------------------------------
sequential          8577  64995.480   10.0 
inverter           29879  42611.400    6.6 
buffer              1251   3329.280    0.5 
logic             204359 537180.120   82.9 
physical_cells         0      0.000    0.0 
-------------------------------------------
total             244066 648116.280  100.0 

