============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Apr 13 2023  02:06:44 am
  Module:                 top_FNN
  Technology library:     uk65lscllmvbbr_120c25_tc 
  Operating conditions:   uk65lscllmvbbr_120c25_tc (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                      
     Gate       Instances     Area              Library           
AOI21B20M1R            97     244.440    uk65lscllmvbbr_120c25_tc 
AOI21B20M2R           620    1562.400    uk65lscllmvbbr_120c25_tc 
AOI21B20M4R           103     333.720    uk65lscllmvbbr_120c25_tc 
AOI21B20M8RA            6      30.240    uk65lscllmvbbr_120c25_tc 
AOI21M12RA             80     720.000    uk65lscllmvbbr_120c25_tc 
AOI21M16RA             49     582.120    uk65lscllmvbbr_120c25_tc 
AOI21M1R              303     654.480    uk65lscllmvbbr_120c25_tc 
AOI21M2R             5753   12426.480    uk65lscllmvbbr_120c25_tc 
AOI21M3R              197     638.280    uk65lscllmvbbr_120c25_tc 
AOI21M4R             1189    3852.360    uk65lscllmvbbr_120c25_tc 
AOI21M6R              333    1558.440    uk65lscllmvbbr_120c25_tc 
AOI21M8R               88     538.560    uk65lscllmvbbr_120c25_tc 
AOI221M1R               1       3.240    uk65lscllmvbbr_120c25_tc 
AOI221M2R            2169    7027.560    uk65lscllmvbbr_120c25_tc 
AOI222M1RA           1100    3960.000    uk65lscllmvbbr_120c25_tc 
AOI22B20M1R            36     116.640    uk65lscllmvbbr_120c25_tc 
AOI22B20M2R           296     959.040    uk65lscllmvbbr_120c25_tc 
AOI22B20M4R          2501   11704.680    uk65lscllmvbbr_120c25_tc 
AOI22M12RA              2      23.760    uk65lscllmvbbr_120c25_tc 
AOI22M1R               63     158.760    uk65lscllmvbbr_120c25_tc 
AOI22M2R             3619    9119.880    uk65lscllmvbbr_120c25_tc 
AOI22M4R              303    1308.960    uk65lscllmvbbr_120c25_tc 
AOI22M6RA              70     428.400    uk65lscllmvbbr_120c25_tc 
AOI22M8RA               7      55.440    uk65lscllmvbbr_120c25_tc 
AOI31M1R                1       2.520    uk65lscllmvbbr_120c25_tc 
AOI31M2R             1478    3724.560    uk65lscllmvbbr_120c25_tc 
AOI31M4R               88     380.160    uk65lscllmvbbr_120c25_tc 
AOI31M6RA              65     397.800    uk65lscllmvbbr_120c25_tc 
AOI31M8RA               2      16.560    uk65lscllmvbbr_120c25_tc 
AOI32M1R               19      54.720    uk65lscllmvbbr_120c25_tc 
AOI32M2R             2358    6791.040    uk65lscllmvbbr_120c25_tc 
AOI32M8RA               3      17.280    uk65lscllmvbbr_120c25_tc 
AOI33M1R                2       6.480    uk65lscllmvbbr_120c25_tc 
AOI33M2R              643    2083.320    uk65lscllmvbbr_120c25_tc 
BEM2RA                  9      71.280    uk65lscllmvbbr_120c25_tc 
BEM4RA                  1      12.240    uk65lscllmvbbr_120c25_tc 
BUFM10R               106     419.760    uk65lscllmvbbr_120c25_tc 
BUFM12R                46     198.720    uk65lscllmvbbr_120c25_tc 
BUFM14R                13      70.200    uk65lscllmvbbr_120c25_tc 
BUFM16R                20     115.200    uk65lscllmvbbr_120c25_tc 
BUFM18R                 5      30.600    uk65lscllmvbbr_120c25_tc 
BUFM20R                13      93.600    uk65lscllmvbbr_120c25_tc 
BUFM22RA                7      50.400    uk65lscllmvbbr_120c25_tc 
BUFM24R                20     158.400    uk65lscllmvbbr_120c25_tc 
BUFM26RA                2      17.280    uk65lscllmvbbr_120c25_tc 
BUFM2R                233     335.520    uk65lscllmvbbr_120c25_tc 
BUFM32RA                5      52.200    uk65lscllmvbbr_120c25_tc 
BUFM3R                  5      10.800    uk65lscllmvbbr_120c25_tc 
BUFM40RA                5      63.000    uk65lscllmvbbr_120c25_tc 
BUFM48RA                3      45.360    uk65lscllmvbbr_120c25_tc 
BUFM4R                137     295.920    uk65lscllmvbbr_120c25_tc 
BUFM5R                  3       7.560    uk65lscllmvbbr_120c25_tc 
BUFM6R                108     272.160    uk65lscllmvbbr_120c25_tc 
BUFM8R                168     544.320    uk65lscllmvbbr_120c25_tc 
CKAN2M12R              13      70.200    uk65lscllmvbbr_120c25_tc 
CKAN2M2R               15      32.400    uk65lscllmvbbr_120c25_tc 
CKAN2M3R                5      12.600    uk65lscllmvbbr_120c25_tc 
CKAN2M4R               20      50.400    uk65lscllmvbbr_120c25_tc 
CKAN2M6R               14      40.320    uk65lscllmvbbr_120c25_tc 
CKAN2M8RA               3       9.720    uk65lscllmvbbr_120c25_tc 
CKBUFM12R               1       4.320    uk65lscllmvbbr_120c25_tc 
CKBUFM1R              289     416.160    uk65lscllmvbbr_120c25_tc 
CKBUFM22RA              1       7.200    uk65lscllmvbbr_120c25_tc 
CKBUFM2R               27      38.880    uk65lscllmvbbr_120c25_tc 
CKBUFM4R               23      49.680    uk65lscllmvbbr_120c25_tc 
CKBUFM6R                5      12.600    uk65lscllmvbbr_120c25_tc 
CKBUFM8R                6      19.440    uk65lscllmvbbr_120c25_tc 
CKINVM12R             182     589.680    uk65lscllmvbbr_120c25_tc 
CKINVM16R              55     237.600    uk65lscllmvbbr_120c25_tc 
CKINVM1R              433     467.640    uk65lscllmvbbr_120c25_tc 
CKINVM20R              53     267.120    uk65lscllmvbbr_120c25_tc 
CKINVM22RA             15      81.000    uk65lscllmvbbr_120c25_tc 
CKINVM24R              15      86.400    uk65lscllmvbbr_120c25_tc 
CKINVM26RA              3      18.360    uk65lscllmvbbr_120c25_tc 
CKINVM2R             5170    5583.600    uk65lscllmvbbr_120c25_tc 
CKINVM32R              35     252.000    uk65lscllmvbbr_120c25_tc 
CKINVM3R              107     154.080    uk65lscllmvbbr_120c25_tc 
CKINVM40R              13     117.000    uk65lscllmvbbr_120c25_tc 
CKINVM48R               8      83.520    uk65lscllmvbbr_120c25_tc 
CKINVM4R              172     247.680    uk65lscllmvbbr_120c25_tc 
CKINVM6R              158     341.280    uk65lscllmvbbr_120c25_tc 
CKINVM8R              118     297.360    uk65lscllmvbbr_120c25_tc 
CKMUX2M2R             272     979.200    uk65lscllmvbbr_120c25_tc 
CKMUX2M3R               8      34.560    uk65lscllmvbbr_120c25_tc 
CKMUX2M4R              51     220.320    uk65lscllmvbbr_120c25_tc 
CKND2M12R              69     422.280    uk65lscllmvbbr_120c25_tc 
CKND2M16RA              7      55.440    uk65lscllmvbbr_120c25_tc 
CKND2M2R            15140   21801.600    uk65lscllmvbbr_120c25_tc 
CKND2M4R              585    1474.200    uk65lscllmvbbr_120c25_tc 
CKND2M6RA              38     123.120    uk65lscllmvbbr_120c25_tc 
CKND2M8R               30     129.600    uk65lscllmvbbr_120c25_tc 
CKXOR2M1RA             44     158.400    uk65lscllmvbbr_120c25_tc 
CKXOR2M2RA             21      83.160    uk65lscllmvbbr_120c25_tc 
CKXOR2M4RA             19      82.080    uk65lscllmvbbr_120c25_tc 
CKXOR2M8RA              7      57.960    uk65lscllmvbbr_120c25_tc 
DFEQZRM1RA              5      50.400    uk65lscllmvbbr_120c25_tc 
DFM2RA                723    5465.880    uk65lscllmvbbr_120c25_tc 
DFM4RA                349    3015.360    uk65lscllmvbbr_120c25_tc 
DFM8RA                 35     390.600    uk65lscllmvbbr_120c25_tc 
DFMQM8RA                4      43.200    uk65lscllmvbbr_120c25_tc 
DFQM1RA               890    6087.600    uk65lscllmvbbr_120c25_tc 
DFQM2RA              4950   33858.000    uk65lscllmvbbr_120c25_tc 
DFQM4RA                32     230.400    uk65lscllmvbbr_120c25_tc 
DFQM8RA               317    2624.760    uk65lscllmvbbr_120c25_tc 
DFQZRM1RA               1       7.200    uk65lscllmvbbr_120c25_tc 
DFQZRM2RA             132     950.400    uk65lscllmvbbr_120c25_tc 
DFQZRM4RA               1       7.920    uk65lscllmvbbr_120c25_tc 
DFQZRM8RA              35     302.400    uk65lscllmvbbr_120c25_tc 
DFQZSM2RA               4      33.120    uk65lscllmvbbr_120c25_tc 
DFZRM2RA               20     165.600    uk65lscllmvbbr_120c25_tc 
DFZRM4RA                7      65.520    uk65lscllmvbbr_120c25_tc 
DFZRM8RA                1      11.880    uk65lscllmvbbr_120c25_tc 
INVM10R               314     904.320    uk65lscllmvbbr_120c25_tc 
INVM12R               550    1782.000    uk65lscllmvbbr_120c25_tc 
INVM14R               208     823.680    uk65lscllmvbbr_120c25_tc 
INVM16R               145     626.400    uk65lscllmvbbr_120c25_tc 
INVM18R                80     374.400    uk65lscllmvbbr_120c25_tc 
INVM1R                530     572.400    uk65lscllmvbbr_120c25_tc 
INVM20R                89     480.600    uk65lscllmvbbr_120c25_tc 
INVM22RA               77     443.520    uk65lscllmvbbr_120c25_tc 
INVM24R                47     287.640    uk65lscllmvbbr_120c25_tc 
INVM26RA               24     164.160    uk65lscllmvbbr_120c25_tc 
INVM2R              16376   17686.080    uk65lscllmvbbr_120c25_tc 
INVM32R                96     760.320    uk65lscllmvbbr_120c25_tc 
INVM3R                481     692.640    uk65lscllmvbbr_120c25_tc 
INVM40R                10     100.800    uk65lscllmvbbr_120c25_tc 
INVM48R                 9     106.920    uk65lscllmvbbr_120c25_tc 
INVM4R               2189    3152.160    uk65lscllmvbbr_120c25_tc 
INVM5R                 80     172.800    uk65lscllmvbbr_120c25_tc 
INVM6R               1325    2862.000    uk65lscllmvbbr_120c25_tc 
